,GENE ID,LOCUS TAG,PRODUCT NAME,SCAFFOLD ID,GENE SEQ LENGTH,READS COUNT,COVERAGE, MEDIAN,READS COUNT ANTISENSE,COVERAGE ANTISENSE,MEDIAN ANTISENSE
405,3300048829 assembled Ga0498908_14317_2_655,,nitrous-oxide reductase,Ga0498908_14317,654,23,2.7603357562000404e-09,6.0,0,0.0,0.0
466,3300048829 assembled Ga0498908_56160_1_360,,nitrous-oxide reductase,Ga0498908_56160,360,8,1.74421215899017e-09,3.0,0,0.0,0.0
1979,3300048829 assembled Ga0498908_06736_1_777,,nitrous-oxide reductase,Ga0498908_06736,777,124,1.25260023773039e-08,26.0,0,0.0,0.0
2902,3300048829 assembled Ga0498908_22567_1_537,,nitrous-oxide reductase,Ga0498908_22567,537,41,5.9926842334019805e-09,11.0,0,0.0,0.0
2906,3300048829 assembled Ga0498908_01045_2_277,,nitrous-oxide reductase,Ga0498908_01045,276,15,4.2657362583998705e-09,4.0,2,5.68764834453317e-10,1.0
3987,3300048829 assembled Ga0498908_04855_3_1022,,nitrous-oxide reductase,Ga0498908_04855,1020,133,1.02344213446629e-08,21.0,0,0.0,0.0
4113,3300048829 assembled Ga0498908_24786_3_515,,nitrous-oxide reductase,Ga0498908_24786,513,56,8.56805972837277e-09,17.0,0,0.0,0.0
4506,3300048829 assembled Ga0498908_65340_3_338,,nitrous-oxide reductase,Ga0498908_65340,336,6,1.40159905633139e-09,2.0,0,0.0,0.0
4824,3300048829 assembled Ga0498908_18629_33_584,,nitrous-oxide reductase,Ga0498908_18629,552,41,5.8298395531465e-09,10.0,0,0.0,0.0
5078,3300048829 assembled Ga0498908_16752_3_611,,nitrous-oxide reductase,Ga0498908_16752,609,144,1.85591047459053e-08,30.0,0,0.0,0.0
7828,3300048829 assembled Ga0498908_54587_2_364,,nitrous-oxide reductase,Ga0498908_54587,363,21,4.54071760398268e-09,9.0,2,4.32449295617398e-10,0.0
8974,3300048829 assembled Ga0498908_24175_1_519,,nitrous-oxide reductase,Ga0498908_24175,519,35,5.29312938421873e-09,8.0,0,0.0,0.0
8975,3300048829 assembled Ga0498908_02891_3_1295,,nitrous-oxide reductase,Ga0498908_02891,1293,294,1.78468111859551e-08,32.0,0,0.0,0.0
9782,3300048829 assembled Ga0498908_30510_2_469,,nitrous-oxide reductase,Ga0498908_30510,468,13,2.18026519873771e-09,4.0,0,0.0,0.0
10211,3300048829 assembled Ga0498908_36029_2_433,,nitrous-oxide reductase,Ga0498908_36029,432,11,1.99857643217624e-09,2.0,0,0.0,0.0
10279,3300048829 assembled Ga0498908_19239_2_577,,nitrous-oxide reductase,Ga0498908_19239,576,18,2.45279834857993e-09,4.0,0,0.0,0.0
11376,3300048829 assembled Ga0498908_84929_2_241,,nitrous-oxide reductase,Ga0498908_84929,240,9,2.9433580182959103e-09,5.0,0,0.0,0.0
11483,3300048829 assembled Ga0498908_11423_1_372,,nitrous-oxide reductase,Ga0498908_11423,372,46,9.705696691154981e-09,16.0,0,0.0,0.0
11818,3300048829 assembled Ga0498908_11593_1_720,,nitrous-oxide reductase,Ga0498908_11593,720,40,4.36053039747543e-09,10.0,0,0.0,0.0
12001,3300048829 assembled Ga0498908_03236_3_1190,,nitrous-oxide reductase,Ga0498908_03236,1188,358,2.36525739741849e-08,34.0,0,0.0,0.0
12597,3300048829 assembled Ga0498908_38280_1_423,,nitrous-oxide reductase,Ga0498908_38280,423,14,2.5977627899853603e-09,5.0,0,0.0,0.0
13211,3300048829 assembled Ga0498908_38227_3_383,,nitrous-oxide reductase,Ga0498908_38227,381,16,3.2961489618711904e-09,5.0,0,0.0,0.0
13217,3300048829 assembled Ga0498908_18204_1_591,,nitrous-oxide reductase,Ga0498908_18204,591,36,4.781089166775091e-09,8.0,0,0.0,0.0
13262,3300048829 assembled Ga0498908_18209_3_590,,nitrous-oxide reductase,Ga0498908_18209,588,29,3.87108310796288e-09,9.0,0,0.0,0.0
14712,3300048829 assembled Ga0498908_66718_2_334,,nitrous-oxide reductase,Ga0498908_66718,333,48,1.13138085988552e-08,20.0,0,0.0,0.0
